薛姨妈;香菱;31.0
王熙凤;贾惜春;31.0
周瑞;王夫人;31.0
史太君;琥珀;31.0
史太君;周瑞;31.0
刘姥姥;平儿;31.0
贾环;赵姨娘;30.0
李嬷嬷;贾宝玉;30.0
贾惜春;贾迎春;30.0
王夫人;贾环;30.0
李纨;薛姨妈;29.0
秋纹;麝月;29.0
贾琏;邢夫人;29.0
史湘云;平儿;28.0
史太君;尤二姐;28.0
尤氏;鸳鸯;28.0
贾琏;鸳鸯;28.0
王夫人;金钏;28.0
晴雯;薛宝钗;28.0
水溶;贾宝玉;28.0
春燕;贾宝玉;28.0
史湘云;香菱;28.0
贾兰;贾宝玉;28.0
贾珍;邢夫人;28.0
刘姥姥;板儿;28.0
史太君;周瑞家的;27.0
林黛玉;鸳鸯;27.0
四儿;贾宝玉;27.0
林之孝;王熙凤;27.0
尤氏;平儿;27.0
周瑞家的;王夫人;27.0
史太君;林之孝;27.0
紫鹃;袭人;26.0
贾探春;香菱;26.0
贾元春;贾政;26.0
王熙凤;贾政;26.0
王熙凤;秦钟;26.0
尤氏;贾探春;26.0
李贵;贾宝玉;26.0
小红;王熙凤;26.0
薛宝钗;邢岫烟;26.0
李纨;薛宝琴;25.0
林黛玉;贾政;25.0
刘姥姥;王夫人;25.0
薛姨妈;邢夫人;25.0
张华;王熙凤;25.0
王熙凤;薛宝琴;25.0
妙玉;贾宝玉;25.0
贾宝玉;邢岫烟;24.0
王夫人;贾蓉;24.0
李纨;鸳鸯;24.0
晴雯;秋纹;24.0
薛宝钗;贾环;24.0
贾探春;赵姨娘;24.0
秦可卿;贾珍;24.0
薛姨妈;袭人;24.0
夏金桂;宝蟾;24.0
贾政;贾琏;23.0
刘姥姥;薛姨妈;23.0
平儿;香菱;23.0
平儿;晴雯;23.0
秦可卿;贾蓉;23.0
智能;秦钟;22.0
贾迎春;邢夫人;22.0
小红;贾芸;22.0
王熙凤;贾环;22.0
薛宝钗;贾政;22.0
秋纹;袭人;22.0
周瑞;贾宝玉;22.0
李纨;邢夫人;22.0
尤氏;贾琏;22.0
林黛玉;邢夫人;22.0
林黛玉;贾琏;22.0
晴雯;王熙凤;21.0
史太君;赖大;21.0
史太君;秋纹;21.0
小红;林黛玉;21.0
王善保家的;王熙凤;21.0
袭人;香菱;21.0
尤氏;薛宝钗;21.0
史湘云;鸳鸯;21.0
晴雯;李纨;21.0
薛蟠;贾珍;21.0
贾蓉;贾赦;21.0
尤氏;秦可卿;21.0
史太君;秦钟;21.0
王熙凤;琥珀;21.0
平儿;邢夫人;21.0
甄士隐;贾雨村;21.0
刘姥姥;林黛玉;21.0
史太君;贾环;21.0
来旺;贾琏;21.0
王夫人;赵姨娘;21.0
紫鹃;薛宝钗;21.0
史太君;薛蟠;21.0
坠儿;贾宝玉;20.0
莺儿;袭人;20.0
王熙凤;贾元春;20.0
琥珀;鸳鸯;20.0
贾宝玉;雪雁;20.0
王熙凤;赵姨娘;20.0
司棋;贾迎春;20.0
史太君;林之孝家的;20.0
王熙凤;赖大;20.0
智能;贾宝玉;20.0
王熙凤;秋桐;20.0
王熙凤;贾芸;20.0
蒋玉菡;贾宝玉;20.0
坠儿;小红;20.0
春燕;芳官;20.0
彩云;贾宝玉;20.0
王夫人;琥珀;19.0
李纨;赵姨娘;19.0
琥珀;贾宝玉;19.0
薛蟠;贾琏;19.0
史太君;香菱;19.0
薛宝钗;麝月;19.0
林黛玉;莺儿;19.0
尤氏;贾惜春;19.0
薛宝钗;鸳鸯;19.0
春燕;袭人;19.0
史太君;赵姨娘;19.0
贾兰;贾环;19.0
平儿;来旺;19.0
藕官;贾宝玉;19.0
春燕;莺儿;19.0
薛姨妈;贾迎春;19.0
王夫人;麝月;19.0
司棋;周瑞家的;18.0
尤二姐;平儿;18.0
史湘云;尤氏;18.0
史太君;秦可卿;18.0
李纨;贾珍;18.0
林之孝;贾宝玉;18.0
玉钏;袭人;18.0
柳五儿;芳官;18.0
史湘云;贾惜春;18.0
宝蟾;香菱;18.0
丰儿;王熙凤;18.0
四儿;袭人;18.0
宝蟾;薛蟠;18.0
贾政;贾雨村;18.0
王夫人;贾元春;18.0
平儿;芳官;18.0
柳家的;芳官;18.0
林之孝;贾琏;18.0
王夫人;贾惜春;18.0
史湘云;邢岫烟;18.0
司棋;周瑞;18.0
袭人;赵姨娘;18.0
尤氏;薛姨妈;18.0
林之孝家的;王熙凤;18.0
史湘云;贾迎春;18.0
贾元春;贾琏;18.0
王一贴;贾宝玉;17.0
林黛玉;雪雁;17.0
史太君;板儿;17.0
贾蓉;邢夫人;17.0
妙玉;林黛玉;17.0
贾兰;贾政;17.0
李纨;香菱;17.0
贾赦;鸳鸯;17.0
倪二;贾芸;17.0
芳官;麝月;17.0
彩云;贾环;17.0
薛姨妈;贾珍;17.0
李纨;林之孝;17.0
史太君;张道士;17.0
芳官;藕官;17.0
紫鹃;雪雁;17.0
司棋;鸳鸯;17.0
薛宝琴;邢岫烟;17.0
刘姥姥;李纨;16.0
史太君;贾兰;16.0
林黛玉;邢岫烟;16.0
赵姨娘;马道婆;16.0
贾探春;鸳鸯;16.0
袭人;贾琏;16.0
秋桐;贾琏;16.0
秦钟;贾瑞;16.0
林之孝;贾探春;16.0
入画;贾惜春;16.0
王熙凤;邢岫烟;16.0
玻璃;贾宝玉;16.0
林之孝家的;贾探春;16.0
板儿;王熙凤;15.0
林黛玉;麝月;15.0
贾宝玉;赖大;15.0
贾宝玉;贾瑞;15.0
