林黛玉:24.0, 贾宝玉:24.0
贾宝玉:20.0, 贾政:20.0
林黛玉:11.0, 薛宝钗:11.0, 贾宝玉:11.0
甄士隐:10.0, 贾雨村:10.0
史湘云:9.0, 林黛玉:9.0
平儿:8.0, 王熙凤:8.0
袭人:8.0, 贾宝玉:8.0
林黛玉:8.0, 紫鹃:8.0, 贾宝玉:8.0
秦可卿:6.0, 贾宝玉:6.0
晴雯:6.0, 袭人:6.0, 贾宝玉:6.0, 麝月:6.0
林黛玉:6.0, 薛宝钗:6.0
茗烟:5.0, 贾宝玉:5.0
史太君:5.0, 王熙凤:5.0
史太君:5.0, 贾宝玉:5.0, 贾政:5.0
林黛玉:5.0, 紫鹃:5.0, 贾宝玉:5.0, 雪雁:5.0
王熙凤:4.0, 秦可卿:4.0
薛宝钗:4.0, 贾宝玉:4.0
平儿:4.0, 王熙凤:4.0, 贾琏:4.0
林黛玉:4.0, 袭人:4.0, 贾宝玉:4.0
史太君:4.0, 林黛玉:4.0, 贾宝玉:4.0
林黛玉:4.0, 王熙凤:4.0, 薛宝钗:4.0, 贾宝玉:4.0
王熙凤:4.0, 贾瑞:4.0
林黛玉:4.0, 紫鹃:4.0, 雪雁:4.0
史太君:4.0, 贾政:4.0
史太君:3.0, 袭人:3.0, 贾宝玉:3.0
史太君:3.0, 尤氏:3.0, 王熙凤:3.0, 贾蓉:3.0
王熙凤:3.0, 贾芸:3.0
贾宝玉:3.0, 贾政:3.0, 贾珍:3.0
夏金桂:3.0, 宝蟾:3.0, 薛蝌:3.0, 薛蟠:3.0
史太君:3.0, 平儿:3.0, 王熙凤:3.0, 贾琏:3.0
史湘云:3.0, 林黛玉:3.0, 薛宝钗:3.0, 袭人:3.0, 贾宝玉:3.0
倪二:3.0, 贾芸:3.0
晴雯:3.0, 贾宝玉:3.0
薛姨妈:3.0, 薛宝钗:3.0
平儿:3.0, 贾琏:3.0
林黛玉:3.0, 香菱:3.0
史太君:3.0, 史湘云:3.0, 薛宝钗:3.0
贾政:3.0, 贾琏:3.0
坠儿:2.0, 贾宝玉:2.0, 贾芸:2.0
史太君:2.0, 林黛玉:2.0, 秋纹:2.0, 袭人:2.0, 贾宝玉:2.0
王熙凤:2.0, 秦可卿:2.0, 贾宝玉:2.0, 贾蓉:2.0
史太君:2.0, 王夫人:2.0, 袭人:2.0, 贾宝玉:2.0, 麝月:2.0
林黛玉:2.0, 紫鹃:2.0, 袭人:2.0, 贾宝玉:2.0, 雪雁:2.0
史太君:2.0, 王夫人:2.0, 王熙凤:2.0, 薛姨妈:2.0
贾宝玉:2.0, 贾芸:2.0
妙玉:2.0, 彩屏:2.0, 贾惜春:2.0
薛宝钗:2.0, 袭人:2.0, 贾宝玉:2.0
刘姥姥:2.0, 贾宝玉:2.0
薛姨妈:2.0, 薛蟠:2.0
秦可卿:2.0, 袭人:2.0, 贾宝玉:2.0
夏金桂:2.0, 宝蟾:2.0, 薛蟠:2.0, 香菱:2.0
史太君:2.0, 贾宝玉:2.0
林如海:2.0, 贾雨村:2.0
史太君:2.0, 王夫人:2.0, 贾宝玉:2.0, 贾政:2.0
云儿:2.0, 冯紫英:2.0, 蒋玉菡:2.0, 薛蟠:2.0, 贾宝玉:2.0
林黛玉:2.0, 柳五儿:2.0, 薛宝钗:2.0, 袭人:2.0, 贾宝玉:2.0, 麝月:2.0
莺儿:2.0, 薛宝钗:2.0, 袭人:2.0, 贾宝玉:2.0
史湘云:2.0, 林黛玉:2.0, 薛宝钗:2.0
王夫人:2.0, 贾宝玉:2.0, 贾政:2.0, 麝月:2.0
坠儿:2.0, 小红:2.0, 贾芸:2.0
夏金桂:2.0, 宝蟾:2.0, 薛姨妈:2.0, 薛宝钗:2.0, 薛蟠:2.0, 香菱:2.0
史太君:2.0, 鸳鸯:2.0
妙玉:2.0, 贾宝玉:2.0
蒋玉菡:2.0, 贾宝玉:2.0, 贾政:2.0
史太君:2.0, 贾珍:2.0, 贾琏:2.0, 贾蓉:2.0
晴雯:2.0, 秋纹:2.0, 袭人:2.0, 贾宝玉:2.0, 麝月:2.0
林黛玉:2.0, 薛宝钗:2.0, 袭人:2.0, 贾宝玉:2.0
檀云:2.0, 麝月:2.0
莺儿:2.0, 薛宝钗:2.0, 贾宝玉:2.0
刘姥姥:2.0, 史太君:2.0, 妙玉:2.0, 贾宝玉:2.0
林黛玉:2.0, 紫鹃:2.0, 薛宝钗:2.0, 贾宝玉:2.0
史太君:2.0, 林黛玉:2.0, 王熙凤:2.0, 紫鹃:2.0, 贾宝玉:2.0, 雪雁:2.0
史太君:2.0, 王夫人:2.0, 王熙凤:2.0
王熙凤:2.0, 贾蓉:2.0
秦可卿:2.0, 贾珍:2.0, 贾蓉:2.0
夏金桂:2.0, 宝蟾:2.0, 薛宝钗:2.0, 香菱:2.0
林黛玉:2.0, 贾元春:2.0
刘姥姥:2.0, 周瑞:2.0, 板儿:2.0
平儿:2.0, 贾巧姐:2.0, 邢夫人:2.0
史太君:2.0, 晴雯:2.0, 林黛玉:2.0, 紫鹃:2.0, 袭人:2.0, 贾宝玉:2.0
史太君:2.0, 张道士:2.0, 贾宝玉:2.0, 贾珍:2.0
王夫人:2.0, 贾宝玉:2.0
李贵:2.0, 贾宝玉:2.0, 贾政:2.0
贾宝玉:2.0, 贾政:2.0, 贾环:2.0
周瑞:2.0, 周瑞家的:2.0, 薛宝钗:2.0
刘姥姥:2.0, 周瑞:2.0, 周瑞家的:2.0, 板儿:2.0
紫鹃:2.0, 贾宝玉:2.0
史太君:2.0, 王熙凤:2.0, 贾珍:2.0
秦钟:2.0, 贾宝玉:2.0
史太君:2.0, 史湘云:2.0, 袭人:2.0, 贾宝玉:2.0
夏金桂:2.0, 宝蟾:2.0, 薛蝌:2.0
云儿:2.0, 薛蟠:2.0
晴雯:2.0, 袭人:2.0, 贾宝玉:2.0
史太君:2.0, 林黛玉:2.0, 王夫人:2.0, 薛宝钗:2.0, 袭人:2.0, 贾宝玉:2.0
贾探春:2.0, 贾政:2.0
袭人:2.0, 贾宝玉:2.0, 贾芸:2.0, 麝月:2.0
